Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Quais as formas de pagamento?	Possibilitamos o pagamento dos serviços da Clínica através de multibanco, transferência bancária, cheque ou dinheiro, após o qual será emitido o respetivo recibo.	http://clinicadashoras.pt/faq/		[]	false	[]	1
A Clínica tem acordos com seguradoras?	A Clínica tem os seus serviços protocolados com várias entidades.\n\nEntre em contacto connosco através dos nossos telefones ou por e-mail.	http://clinicadashoras.pt/faq/		[]	false	[]	2
Como consulto a tabela de preços e pagamentos?	Por favor solicite essa informação através dos nossos telefones ou por e-mail.	http://clinicadashoras.pt/faq/		[]	false	[]	3
A Clínica recebe pacientes com necessidades especiais?	Sim. Temos acessos para pacientes com mobilidade reduzida e, em caso de necessidade, basta solicitar a cadeira de rodas disponível na Clínica.\n\nPara necessidades mais específicas entre em contacto connosco através dos nossos telefones ou por e-mail.	http://clinicadashoras.pt/faq/		[]	false	[]	4
A Clínica faz apoio domiciliário?	Disponibilizamos apoio domiciliário em situações de urgência, incapacidade comprovada ou necessidade grave que o justifique nas especialidades de Psicologia, Neurologia, Psiquiatria, Nutrição e Medicina Geral e Familiar.	http://clinicadashoras.pt/faq/		[]	false	[]	5
É possível ter acesso aos serviços da Clínica se estiver ausente do país?	Sim. A Clínica disponibiliza consultas on-line para as especialidades de Psiquiatria, Psicologia, Psicoterapia e Acompanhamento Nutricional.	http://clinicadashoras.pt/faq/		[]	false	[]	6
Internamento Compulsivo	Internamento compulsivo consiste num internamento contra a vontade do próprio paciente.\n\nPara praticar este tipo de internamento, é necessária uma ordem de tribunal assinada com um relatório psiquiátrico a relatar que o paciente representa um perigo para o próprio e para os que o rodeiam.\n\nNa Clínica, **não aceitamos internamentos compulsivos**. Acreditamos que o indivíduo precisa de ter vontade própria para se submeter ao tratamento, e, por isso, através de uma conversa com o paciente tentamos apelar ao bom senso e convencê-lo a submeter-se ao tratamento na Clínica.	https://www.clinicaolhosdeagua.pt/faqs		[]	false	[]	7
Deslocações ao Exterior	Regularmente serão organizadas atividades fora do Centro em que os pacientes poderão participar mediante autorização médica e da Equipa de Tratamento (ir à praia, passeios a pé, exercício físico, etc).	https://www.clinicaolhosdeagua.pt/faqs		[]	false	[]	8
Contacto com o Exterior	Na primeira semana de internamento, o paciente não pode manter contacto com o exterior e/ou pessoas estranhas, ou enquanto não houver autorização da Equipa Terapêutica.\n\nNo período posterior, os pacientes podem contactar, via chamada telefónica, as suas famílias no horário estipulado pela Clínica através do telemóvel do estabelecimento.\n\nTodos os Sábados, as famílias podem visitar os pacientes.	Editorial		[]	false	[]	9
Alimentação na Clínica	Todas as semanas existe um plano de refeições definido.\n\nA Clínica **adapta a alimentação** aos pacientes caso haja essa necessidade (alimentação vegetariana e/ou qualquer alergia a determinados alimentos).	Editorial		[]	false	[]	10
O que levar para a Clínica?	Roupa prática e confortável de acordo com a estação do ano em questão (calças, t-shirts, pullovers, casacos, fatos de treino e calçado confortável). Os pacientes deverão trazer os seus pertences de higiene pessoal, como a escova e pasta de dentes, desodorizante, produtos femininos, champô e gel de banho, artigos para fazer a barba, sprays para o cabelo, perfumes (sem álcool).	Editorial		[]	false	[]	11
